,artist,date,song,year
1297,irene cara,1983-06-18,flashdance...what a feeling,1983
1298,irene cara,1983-06-25,flashdance...what a feeling,1983
1299,irene cara,1983-07-02,flashdance...what a feeling,1983
1300,the police,1983-07-09,every breath you take,1983
1301,the police,1983-07-16,every breath you take,1983
1302,the police,1983-07-23,every breath you take,1983
1303,the police,1983-07-30,every breath you take,1983
1304,the police,1983-08-06,every breath you take,1983
1305,the police,1983-08-13,every breath you take,1983
1306,the police,1983-08-20,every breath you take,1983
1307,the police,1983-08-27,every breath you take,1983
1308,eurythmics,1983-09-03,sweet dreams (are made of this),1983
1309,michael sembello,1983-09-10,maniac,1983
1310,michael sembello,1983-09-17,maniac,1983
1311,billy joel,1983-09-24,tell her about it,1983
1312,bonnie tyler,1983-10-01,total eclipse of the heart,1983
1313,bonnie tyler,1983-10-08,total eclipse of the heart,1983
1314,bonnie tyler,1983-10-15,total eclipse of the heart,1983
1315,bonnie tyler,1983-10-22,total eclipse of the heart,1983
1316,kenny rogers with dolly parton,1983-10-29,islands in the stream,1983
1317,kenny rogers with dolly parton,1983-11-05,islands in the stream,1983
1318,lionel richie,1983-11-12,all night long (all night),1983
1319,lionel richie,1983-11-19,all night long (all night),1983
1320,lionel richie,1983-11-26,all night long (all night),1983
1321,lionel richie,1983-12-03,all night long (all night),1983
1322,paul mccartney and michael jackson,1983-12-10,say say say,1983
1323,paul mccartney and michael jackson,1983-12-17,say say say,1983
1324,paul mccartney and michael jackson,1983-12-24,say say say,1983
1325,paul mccartney and michael jackson,1983-12-31,say say say,1983
1326,paul mccartney and michael jackson,1984-01-07,say say say,1984
1327,paul mccartney and michael jackson,1984-01-14,say say say,1984
1328,yes,1984-01-21,owner of a lonely heart,1984
1329,yes,1984-01-28,owner of a lonely heart,1984
1330,culture club,1984-02-04,karma chameleon,1984
1331,culture club,1984-02-11,karma chameleon,1984
1332,culture club,1984-02-18,karma chameleon,1984
1333,van halen,1984-02-25,jump,1984
1334,van halen,1984-03-03,jump,1984
1335,van halen,1984-03-10,jump,1984
1336,van halen,1984-03-17,jump,1984
1337,van halen,1984-03-24,jump,1984
1338,kenny loggins,1984-03-31,footloose,1984
1339,kenny loggins,1984-04-07,footloose,1984
1340,kenny loggins,1984-04-14,footloose,1984
1341,phil collins,1984-04-21,against all odds (take a look at me now),1984
1342,phil collins,1984-04-28,against all odds (take a look at me now),1984
1343,phil collins,1984-05-05,against all odds (take a look at me now),1984
1344,lionel richie,1984-05-12,hello,1984
1345,lionel richie,1984-05-19,hello,1984
1346,deniece williams,1984-05-26,let's hear it for the boy,1984
1347,deniece williams,1984-06-02,let's hear it for the boy,1984
1348,cyndi lauper,1984-06-09,time after time,1984
1349,cyndi lauper,1984-06-16,time after time,1984
1350,duran duran,1984-06-23,the reflex,1984
1351,duran duran,1984-06-30,the reflex,1984
1352,prince and the revolution,1984-07-07,when doves cry,1984
1353,prince and the revolution,1984-07-14,when doves cry,1984
1354,prince and the revolution,1984-07-21,when doves cry,1984
1355,prince and the revolution,1984-07-28,when doves cry,1984
1356,prince and the revolution,1984-08-04,when doves cry,1984
1357,ray parker jr.,1984-08-11,ghostbusters,1984
1358,ray parker jr.,1984-08-18,ghostbusters,1984
1359,ray parker jr.,1984-08-25,ghostbusters,1984
1360,tina turner,1984-09-01,what's love got to do with it,1984
1361,tina turner,1984-09-08,what's love got to do with it,1984
1362,tina turner,1984-09-15,what's love got to do with it,1984
1363,john waite,1984-09-22,missing you,1984
1364,prince and the revolution,1984-09-29,let's go crazy,1984
1365,prince and the revolution,1984-10-06,let's go crazy,1984
1366,stevie wonder,1984-10-13,i just called to say i love you,1984
1367,stevie wonder,1984-10-20,i just called to say i love you,1984
1368,stevie wonder,1984-10-27,i just called to say i love you,1984
1369,billy ocean,1984-11-03,caribbean queen (no more love on the run),1984
1370,billy ocean,1984-11-10,caribbean queen (no more love on the run),1984
1371,wham!,1984-11-17,wake me up before you go-go,1984
1372,wham!,1984-11-24,wake me up before you go-go,1984
1373,wham!,1984-12-01,wake me up before you go-go,1984
1374,daryl hall  john oates,1984-12-08,out of touch,1984
1375,daryl hall  john oates,1984-12-15,out of touch,1984
1376,madonna,1984-12-22,like a virgin,1984
1377,madonna,1984-12-29,like a virgin,1984
1378,madonna,1985-01-05,like a virgin,1985
1379,madonna,1985-01-12,like a virgin,1985
1380,madonna,1985-01-19,like a virgin,1985
1381,madonna,1985-01-26,like a virgin,1985
1382,foreigner,1985-02-02,i want to know what love is,1985
1383,foreigner,1985-02-09,i want to know what love is,1985
1384,wham!,1985-02-16,careless whisper,1985
1385,wham!,1985-02-23,careless whisper,1985
1386,wham!,1985-03-02,careless whisper,1985
